14/09/2018 13:45:26.979 [main] INFO  h.b.t.a.TasksRunnerApplication - Starting TasksRunnerApplication v1.0-SNAPSHOT on daniel-HP-240-G4-Notebook-PC with PID 8838 (/home/daniel/Documents/Work/IdeaProjects/Tsoft-Analytics-Bridge/hubble.backend.tasksrunner/target/hubble.backend.tasksrunner-1.0-SNAPSHOT.jar started by daniel in /home/daniel/Documents/Work/IdeaProjects/Tsoft-Analytics-Bridge/hubble.backend.tasksrunner/target) 
14/09/2018 13:45:27.064 [main] INFO  h.b.t.a.TasksRunnerApplication - The following profiles are active: test 
14/09/2018 13:45:27.323 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7fe8c9eb: startup date [Fri Sep 14 13:45:27 ART 2018]; root of context hierarchy 
14/09/2018 13:45:28.894 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final 
14/09/2018 13:45:33.763 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8090 (http) 
14/09/2018 13:45:33.801 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
14/09/2018 13:45:33.804 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.16 
14/09/2018 13:45:34.114 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
14/09/2018 13:45:34.115 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 6792 ms 
14/09/2018 13:45:35.102 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/] 
14/09/2018 13:45:35.145 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*] 
14/09/2018 13:45:35.147 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
